epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1796.39,0.52142,0.35059,0.98481,0.98735,0.98375,0.99471,0.92332,0.4176,0.26852,0.89518,0.0011882,0.0011882,0.0011882
43,1837.84,0.49878,0.35105,0.97481,0.99578,0.99077,0.99492,0.92845,0.4038,0.24375,0.88529,0.0011684,0.0011684,0.0011684
44,1879.9,0.51054,0.35176,0.98169,0.99511,0.97479,0.99391,0.92501,0.40549,0.25851,0.88579,0.0011486,0.0011486,0.0011486
45,1921.28,0.493,0.34712,0.96829,0.99915,0.97059,0.99194,0.90709,0.43336,0.2666,0.89732,0.0011288,0.0011288,0.0011288
46,1962.77,0.51857,0.3618,0.98335,0.99937,0.97899,0.98907,0.91486,0.4412,0.26031,0.90256,0.001109,0.001109,0.001109
47,2003.99,0.50197,0.34577,0.97356,0.99156,0.98686,0.99077,0.92994,0.40745,0.25563,0.88891,0.0010892,0.0010892,0.0010892
48,2045.08,0.49743,0.34025,0.97451,0.99574,0.98281,0.9938,0.90529,0.4225,0.2557,0.90086,0.0010694,0.0010694,0.0010694
49,2086.07,0.47918,0.33243,0.95238,0.99519,0.9916,0.99496,0.92879,0.42684,0.25124,0.89901,0.0010496,0.0010496,0.0010496
50,2127.25,0.49261,0.33293,0.97326,0.99813,0.98739,0.99492,0.92707,0.40933,0.23852,0.88349,0.0010298,0.0010298,0.0010298
51,2170.19,0.49642,0.34044,0.97392,0.9985,0.9916,0.995,0.92504,0.40763,0.23075,0.89212,0.00101,0.00101,0.00101
52,2211.4,0.48388,0.33238,0.95756,0.99543,0.98319,0.99455,0.93494,0.40954,0.24427,0.87813,0.0009902,0.0009902,0.0009902
53,2252.27,0.4808,0.33099,0.96225,0.99578,0.99116,0.99492,0.92729,0.40169,0.23897,0.88097,0.0009704,0.0009704,0.0009704
54,2294.35,0.48271,0.33371,0.96646,0.99151,0.98181,0.9945,0.92815,0.38641,0.24219,0.87993,0.0009506,0.0009506,0.0009506
55,2338.05,0.46462,0.31926,0.95123,0.9998,0.9958,0.995,0.92053,0.41433,0.2387,0.88689,0.0009308,0.0009308,0.0009308
56,2382.17,0.47724,0.32837,0.96441,0.99159,0.99107,0.99492,0.92451,0.39773,0.23639,0.87308,0.000911,0.000911,0.000911
57,2423.54,0.45854,0.32034,0.95576,0.99156,0.98673,0.99303,0.91031,0.41777,0.24674,0.88764,0.0008912,0.0008912,0.0008912
58,2466.08,0.46898,0.31607,0.96059,0.99937,0.98319,0.99459,0.92224,0.41748,0.24223,0.8861,0.0008714,0.0008714,0.0008714
59,2507.66,0.46849,0.31674,0.95258,0.99538,0.98319,0.99447,0.91568,0.4217,0.24326,0.89289,0.0008516,0.0008516,0.0008516
60,2549.12,0.45734,0.30148,0.94678,0.99896,0.9916,0.995,0.92585,0.4076,0.2323,0.88765,0.0008318,0.0008318,0.0008318
61,2591.82,0.4472,0.31332,0.94426,1,0.97771,0.99315,0.92867,0.37181,0.22999,0.86845,0.000812,0.000812,0.000812
62,2637.17,0.45959,0.30989,0.94709,0.99576,0.98615,0.99471,0.9233,0.41603,0.22967,0.89513,0.0007922,0.0007922,0.0007922
63,2680.08,0.4573,0.30669,0.95112,0.99159,0.99136,0.99492,0.92831,0.40312,0.21495,0.88396,0.0007724,0.0007724,0.0007724
64,2729.99,0.43551,0.29898,0.93807,0.99985,0.98319,0.99425,0.93389,0.38369,0.22381,0.88389,0.0007526,0.0007526,0.0007526
