epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.487,0.86949,1.72053,1.20436,0.9657,0.82801,0.93559,0.76326,0.68369,2.11592,1.02832,0.000655556,0.000655556,0.000655556
2,101.748,0.86955,1.20208,1.18773,0.91881,0.86975,0.92402,0.66328,0.95529,1.1904,1.25406,0.00130913,0.00130913,0.00130913
3,147.103,0.91794,1.04849,1.19272,0.9719,0.87198,0.95218,0.72625,0.86457,1.04695,1.17462,0.00194951,0.00194951,0.00194951
4,190.791,0.94216,0.95121,1.19907,0.85053,0.81292,0.89921,0.67501,0.9238,1.08087,1.20761,0.0019406,0.0019406,0.0019406
5,232.168,0.85731,0.82064,1.16942,0.87741,0.82353,0.91137,0.68975,0.80849,0.90316,1.14966,0.0019208,0.0019208,0.0019208
6,273.123,0.84818,0.77015,1.14904,0.95063,0.88997,0.9474,0.7404,0.79699,0.69062,1.15087,0.001901,0.001901,0.001901
7,314.342,0.81823,0.71219,1.14319,0.96794,0.91176,0.96993,0.80007,0.70781,0.66295,1.07875,0.0018812,0.0018812,0.0018812
8,355.378,0.80111,0.66747,1.12441,0.97725,0.90241,0.96793,0.77328,0.73748,0.56582,1.09083,0.0018614,0.0018614,0.0018614
9,397.059,0.78395,0.65074,1.12731,0.97697,0.97059,0.98056,0.82399,0.64851,0.48156,1.04783,0.0018416,0.0018416,0.0018416
10,447.333,0.74945,0.61824,1.10416,0.98359,0.94958,0.97838,0.81312,0.65703,0.48164,1.02196,0.0018218,0.0018218,0.0018218
11,489.152,0.75907,0.62716,1.09443,0.98978,0.94118,0.97438,0.83572,0.57976,0.47514,0.9893,0.001802,0.001802,0.001802
12,530.41,0.72646,0.58389,1.08652,0.98746,0.93697,0.98149,0.8394,0.61528,0.46352,1.00791,0.0017822,0.0017822,0.0017822
13,571.808,0.71939,0.57326,1.07354,0.93889,0.90379,0.959,0.77572,0.70542,0.57424,1.08481,0.0017624,0.0017624,0.0017624
14,613.108,0.70968,0.56879,1.08781,0.97744,0.91041,0.96164,0.81714,0.6432,0.51165,1.03464,0.0017426,0.0017426,0.0017426
15,654.575,0.68948,0.53052,1.05669,0.99492,0.96218,0.99177,0.86058,0.57437,0.39485,0.97192,0.0017228,0.0017228,0.0017228
16,696.24,0.69364,0.55055,1.06675,0.98711,0.965,0.98949,0.8659,0.51917,0.39523,0.95265,0.001703,0.001703,0.001703
17,738.496,0.67678,0.51642,1.06192,0.99149,0.97864,0.99297,0.87325,0.52835,0.36672,0.94528,0.0016832,0.0016832,0.0016832
18,781.144,0.67313,0.50503,1.05446,0.98712,0.96612,0.9915,0.86126,0.57015,0.38237,0.97638,0.0016634,0.0016634,0.0016634
19,826.809,0.6721,0.51863,1.05498,0.97079,0.97758,0.99317,0.8898,0.49769,0.3415,0.94257,0.0016436,0.0016436,0.0016436
20,1007.84,0.65081,0.48369,1.03354,0.9921,0.96639,0.99047,0.88742,0.50578,0.35005,0.93573,0.0016238,0.0016238,0.0016238
